date,team_1,team_2,outcome
11/1/1946,trh,nyk,0.0
11/1/1946,nyk,trh,1.0
11/2/1946,chs,nyk,1.0
11/2/1946,nyk,chs,0.0
11/2/1946,dtf,wsc,0.0
11/2/1946,wsc,dtf,1.0
11/2/1946,bos,pro,0.0
11/2/1946,pro,bos,1.0
11/2/1946,pit,stb,0.0
11/2/1946,stb,pit,1.0
11/3/1946,trh,clr,0.0
11/3/1946,clr,trh,1.0
11/4/1946,pit,wsc,0.0
11/4/1946,wsc,pit,1.0
11/5/1946,bos,chs,0.0
11/5/1946,chs,bos,1.0
11/5/1946,stb,dtf,1.0
11/5/1946,dtf,stb,0.0
11/7/1946,pit,phw,0.0
11/7/1946,phw,pit,1.0
11/7/1946,pro,chs,1.0
11/7/1946,chs,pro,0.0
11/7/1946,stb,nyk,0.0
11/7/1946,nyk,stb,1.0
11/8/1946,trh,dtf,1.0
11/8/1946,dtf,trh,0.0
11/9/1946,trh,chs,0.0
11/9/1946,chs,trh,1.0
11/9/1946,bos,dtf,0.0
11/9/1946,dtf,bos,1.0
11/9/1946,pro,pit,1.0
11/9/1946,pit,pro,0.0
11/9/1946,stb,wsc,1.0
11/9/1946,wsc,stb,0.0
11/10/1946,clr,wsc,1.0
11/10/1946,wsc,clr,0.0
11/11/1946,chs,nyk,1.0
11/11/1946,nyk,chs,0.0
11/11/1946,pit,pro,1.0
11/11/1946,pro,pit,0.0
11/13/1946,bos,chs,0.0
11/13/1946,chs,bos,1.0
11/13/1946,dtf,pro,0.0
11/13/1946,pro,dtf,1.0
11/14/1946,phw,wsc,1.0
11/14/1946,wsc,phw,0.0
11/14/1946,bos,stb,0.0
11/14/1946,stb,bos,1.0
11/15/1946,pro,trh,0.0
11/15/1946,trh,pro,1.0
11/16/1946,trh,bos,0.0
11/16/1946,bos,trh,1.0
11/16/1946,wsc,chs,1.0
11/16/1946,chs,wsc,0.0
11/16/1946,nyk,pit,1.0
11/16/1946,pit,nyk,0.0
11/16/1946,dtf,pro,1.0
11/16/1946,pro,dtf,0.0
11/16/1946,stb,clr,1.0
11/16/1946,clr,stb,0.0
11/17/1946,clr,chs,0.0
11/17/1946,chs,clr,1.0
11/18/1946,nyk,dtf,1.0
11/18/1946,dtf,nyk,0.0
11/18/1946,trh,pit,0.0
11/18/1946,pit,trh,1.0
11/19/1946,phw,stb,0.0
11/19/1946,stb,phw,1.0
11/19/1946,clr,trh,1.0
11/19/1946,trh,clr,0.0
11/20/1946,pit,dtf,1.0
11/20/1946,dtf,pit,0.0
11/20/1946,nyk,chs,1.0
11/20/1946,chs,nyk,0.0
11/20/1946,wsc,stb,1.0
11/20/1946,stb,wsc,0.0
11/21/1946,bos,stb,0.0
11/21/1946,stb,bos,1.0
11/21/1946,phw,chs,0.0
11/21/1946,chs,phw,1.0
11/21/1946,wsc,pro,1.0
11/21/1946,pro,wsc,0.0
11/22/1946,bos,trh,0.0
11/22/1946,trh,bos,1.0
11/23/1946,bos,dtf,0.0
11/23/1946,dtf,bos,1.0
11/23/1946,clr,nyk,0.0
11/23/1946,nyk,clr,1.0
11/23/1946,pro,stb,0.0
11/23/1946,stb,pro,1.0
11/23/1946,wsc,trh,1.0
11/23/1946,trh,wsc,0.0
11/24/1946,chs,dtf,0.0
11/24/1946,dtf,chs,1.0
11/24/1946,pit,clr,0.0
11/24/1946,clr,pit,1.0
11/25/1946,pro,bos,1.0
11/25/1946,bos,pro,0.0
11/25/1946,nyk,pit,1.0
11/25/1946,pit,nyk,0.0
11/26/1946,dtf,clr,1.0
11/26/1946,clr,dtf,0.0
11/26/1946,phw,bos,1.0
11/26/1946,bos,phw,0.0
11/26/1946,trh,wsc,0.0
11/26/1946,wsc,trh,1.0
11/27/1946,stb,nyk,0.0
11/27/1946,nyk,stb,1.0
11/27/1946,clr,pit,0.0
11/27/1946,pit,clr,1.0
11/27/1946,wsc,chs,1.0
11/27/1946,chs,wsc,0.0
11/28/1946,pit,bos,0.0
11/28/1946,bos,pit,1.0
11/28/1946,stb,chs,1.0
11/28/1946,chs,stb,0.0
11/28/1946,phw,dtf,0.0
11/28/1946,dtf,phw,1.0
11/28/1946,pro,nyk,0.0
11/28/1946,nyk,pro,1.0
11/29/1946,trh,clr,0.0
11/29/1946,clr,trh,1.0
11/30/1946,nyk,phw,1.0
11/30/1946,phw,nyk,0.0
11/30/1946,trh,pro,0.0
11/30/1946,pro,trh,1.0
11/30/1946,stb,dtf,1.0
11/30/1946,dtf,stb,0.0
11/30/1946,wsc,pit,1.0
11/30/1946,pit,wsc,0.0
12/1/1946,bos,chs,0.0
12/1/1946,chs,bos,1.0
12/1/1946,dtf,clr,0.0
12/1/1946,clr,dtf,1.0
12/2/1946,pit,bos,0.0
12/2/1946,bos,pit,1.0
12/3/1946,pro,phw,0.0
12/3/1946,phw,pro,1.0
12/4/1946,dtf,nyk,0.0
12/4/1946,nyk,dtf,1.0
12/4/1946,chs,pit,1.0
12/4/1946,pit,chs,0.0
12/4/1946,wsc,pro,1.0
12/4/1946,pro,wsc,0.0
12/5/1946,bos,dtf,0.0
12/5/1946,dtf,bos,1.0
12/5/1946,chs,trh,0.0
12/5/1946,trh,chs,1.0
12/5/1946,nyk,phw,0.0
12/5/1946,phw,nyk,1.0
12/5/1946,pit,stb,0.0
12/5/1946,stb,pit,1.0
12/7/1946,bos,nyk,0.0
12/7/1946,nyk,bos,1.0
12/7/1946,chs,clr,1.0
12/7/1946,clr,chs,0.0
12/7/1946,pro,trh,0.0
12/7/1946,trh,pro,1.0
12/7/1946,stb,phw,0.0
12/7/1946,phw,stb,1.0
12/7/1946,dtf,wsc,0.0
12/7/1946,wsc,dtf,1.0
12/8/1946,phw,clr,0.0
12/8/1946,clr,phw,1.0
12/8/1946,bos,nyk,0.0
12/8/1946,nyk,bos,1.0
12/9/1946,pit,dtf,0.0
12/9/1946,dtf,pit,1.0
12/10/1946,stb,clr,1.0
12/10/1946,clr,stb,0.0
12/10/1946,phw,trh,1.0
12/10/1946,trh,phw,0.0
12/11/1946,clr,chs,0.0
12/11/1946,chs,clr,1.0
12/11/1946,pro,nyk,0.0
12/11/1946,nyk,pro,1.0
12/11/1946,dtf,wsc,0.0
12/11/1946,wsc,dtf,1.0
12/12/1946,dtf,bos,0.0
12/12/1946,bos,dtf,1.0
12/12/1946,wsc,phw,1.0
12/12/1946,phw,wsc,0.0
12/12/1946,chs,stb,1.0
12/12/1946,stb,chs,0.0
12/13/1946,pit,trh,1.0
12/13/1946,trh,pit,0.0
12/14/1946,bos,phw,1.0
12/14/1946,phw,bos,0.0
12/14/1946,pro,dtf,1.0
12/14/1946,dtf,pro,0.0
12/14/1946,clr,wsc,0.0
12/14/1946,wsc,clr,1.0
12/15/1946,chs,pit,1.0
12/15/1946,pit,chs,0.0
12/15/1946,nyk,clr,0.0
12/15/1946,clr,nyk,1.0
12/15/1946,stb,trh,0.0
12/15/1946,trh,stb,1.0
12/16/1946,pit,stb,0.0
12/16/1946,stb,pit,1.0
12/17/1946,clr,trh,1.0
12/17/1946,trh,clr,0.0
12/17/1946,dtf,phw,0.0
12/17/1946,phw,dtf,1.0
12/18/1946,clr,nyk,1.0
12/18/1946,nyk,clr,0.0
12/18/1946,wsc,stb,1.0
12/18/1946,stb,wsc,0.0
12/19/1946,bos,stb,0.0
12/19/1946,stb,bos,1.0
12/19/1946,phw,clr,1.0
12/19/1946,clr,phw,0.0
12/19/1946,pro,chs,1.0
12/19/1946,chs,pro,0.0
12/20/1946,nyk,trh,0.0
12/20/1946,trh,nyk,1.0
12/21/1946,pro,nyk,1.0
12/21/1946,nyk,pro,0.0
12/21/1946,wsc,phw,1.0
12/21/1946,phw,wsc,0.0
12/22/1946,chs,dtf,1.0
12/22/1946,dtf,chs,0.0
12/22/1946,pit,clr,1.0
12/22/1946,clr,pit,0.0
12/22/1946,bos,stb,0.0
12/22/1946,stb,bos,1.0
12/23/1946,bos,pit,0.0
12/23/1946,pit,bos,1.0
12/26/1946,phw,pit,1.0
12/26/1946,pit,phw,0.0
12/26/1946,pro,wsc,0.0
12/26/1946,wsc,pro,1.0
12/26/1946,dtf,stb,0.0
12/26/1946,stb,dtf,1.0
12/27/1946,bos,phw,0.0
12/27/1946,phw,bos,1.0
12/27/1946,trh,chs,0.0
12/27/1946,chs,trh,1.0
12/28/1946,bos,pro,0.0
12/28/1946,pro,bos,1.0
12/28/1946,wsc,nyk,1.0
12/28/1946,nyk,wsc,0.0
12/29/1946,chs,clr,1.0
12/29/1946,clr,chs,0.0
12/29/1946,dtf,trh,0.0
12/29/1946,trh,dtf,1.0
12/29/1946,phw,stb,0.0
12/29/1946,stb,phw,1.0
12/30/1946,wsc,bos,1.0
12/30/1946,bos,wsc,0.0
12/30/1946,phw,pit,1.0
12/30/1946,pit,phw,0.0
12/31/1946,clr,stb,0.0
12/31/1946,stb,clr,1.0
12/31/1946,trh,chs,1.0
12/31/1946,chs,trh,0.0
1/1/1947,stb,chs,1.0
1/1/1947,chs,stb,0.0
1/1/1947,dtf,wsc,1.0
1/1/1947,wsc,dtf,0.0
1/1/1947,clr,pit,1.0
1/1/1947,pit,clr,0.0
1/2/1947,pro,phw,0.0
1/2/1947,phw,pro,1.0
1/2/1947,stb,wsc,1.0
1/2/1947,wsc,stb,0.0
1/3/1947,bos,trh,1.0
1/3/1947,trh,bos,0.0
1/4/1947,dtf,nyk,0.0
1/4/1947,nyk,dtf,1.0
1/4/1947,phw,pro,0.0
1/4/1947,pro,phw,1.0
1/4/1947,clr,wsc,0.0
1/4/1947,wsc,clr,1.0
1/5/1947,stb,nyk,0.0
1/5/1947,nyk,stb,1.0
1/6/1947,clr,bos,1.0
1/6/1947,bos,clr,0.0
1/6/1947,wsc,pit,1.0
1/6/1947,pit,wsc,0.0
1/6/1947,dtf,trh,0.0
1/6/1947,trh,dtf,1.0
1/8/1947,dtf,chs,0.0
1/8/1947,chs,dtf,1.0
1/8/1947,trh,nyk,1.0
1/8/1947,nyk,trh,0.0
1/8/1947,phw,pit,0.0
1/8/1947,pit,phw,1.0
1/8/1947,wsc,pro,1.0
1/8/1947,pro,wsc,0.0
1/9/1947,phw,trh,1.0
1/9/1947,trh,phw,0.0
1/9/1947,pro,clr,1.0
1/9/1947,clr,pro,0.0
1/9/1947,stb,chs,1.0
1/9/1947,chs,stb,0.0
1/10/1947,nyk,bos,0.0
1/10/1947,bos,nyk,1.0
1/11/1947,dtf,phw,1.0
1/11/1947,phw,dtf,0.0
1/11/1947,bos,pro,1.0
1/11/1947,pro,bos,0.0
1/11/1947,trh,wsc,0.0
1/11/1947,wsc,trh,1.0
1/12/1947,chs,phw,1.0
1/12/1947,phw,chs,0.0
1/12/1947,pit,stb,0.0
1/12/1947,stb,pit,1.0
1/13/1947,nyk,pit,1.0
1/13/1947,pit,nyk,0.0
1/14/1947,clr,pro,0.0
1/14/1947,pro,clr,1.0
1/14/1947,trh,phw,0.0
1/14/1947,phw,trh,1.0
1/15/1947,chs,dtf,0.0
1/15/1947,dtf,chs,1.0
1/15/1947,nyk,wsc,0.0
1/15/1947,wsc,nyk,1.0
1/15/1947,pit,pro,1.0
1/15/1947,pro,pit,0.0
1/16/1947,wsc,bos,0.0
1/16/1947,bos,wsc,1.0
1/16/1947,phw,chs,0.0
1/16/1947,chs,phw,1.0
1/16/1947,clr,stb,1.0
1/16/1947,stb,clr,0.0
1/17/1947,trh,dtf,0.0
1/17/1947,dtf,trh,1.0
1/18/1947,nyk,bos,0.0
1/18/1947,bos,nyk,1.0
1/18/1947,chs,wsc,0.0
1/18/1947,wsc,chs,1.0
1/19/1947,nyk,clr,0.0
1/19/1947,clr,nyk,1.0
1/19/1947,stb,pro,1.0
1/19/1947,pro,stb,0.0
1/20/1947,bos,chs,0.0
1/20/1947,chs,bos,1.0
1/20/1947,dtf,pit,0.0
1/20/1947,pit,dtf,1.0
1/21/1947,bos,phw,0.0
1/21/1947,phw,bos,1.0
1/21/1947,trh,stb,1.0
1/21/1947,stb,trh,0.0
1/22/1947,clr,dtf,1.0
1/22/1947,dtf,clr,0.0
1/22/1947,nyk,chs,1.0
1/22/1947,chs,nyk,0.0
1/22/1947,phw,wsc,0.0
1/22/1947,wsc,phw,1.0
1/23/1947,bos,pit,1.0
1/23/1947,pit,bos,0.0
1/23/1947,chs,pro,1.0
1/23/1947,pro,chs,0.0
1/23/1947,phw,clr,1.0
1/23/1947,clr,phw,0.0
1/24/1947,pro,trh,1.0
1/24/1947,trh,pro,0.0
1/25/1947,phw,dtf,1.0
1/25/1947,dtf,phw,0.0
1/25/1947,nyk,bos,0.0
1/25/1947,bos,nyk,1.0
1/25/1947,wsc,pit,1.0
1/25/1947,pit,wsc,0.0
1/26/1947,phw,chs,0.0
1/26/1947,chs,phw,1.0
1/26/1947,stb,dtf,1.0
1/26/1947,dtf,stb,0.0
1/27/1947,bos,wsc,0.0
1/27/1947,wsc,bos,1.0
1/27/1947,pro,pit,0.0
1/27/1947,pit,pro,1.0
1/27/1947,trh,clr,0.0
1/27/1947,clr,trh,1.0
1/28/1947,clr,trh,1.0
1/28/1947,trh,clr,0.0
1/29/1947,pro,dtf,1.0
1/29/1947,dtf,pro,0.0
1/29/1947,pit,nyk,0.0
1/29/1947,nyk,pit,1.0
1/29/1947,bos,wsc,0.0
1/29/1947,wsc,bos,1.0
1/30/1947,pit,bos,0.0
1/30/1947,bos,pit,1.0
1/30/1947,phw,nyk,1.0
1/30/1947,nyk,phw,0.0
1/30/1947,pro,stb,1.0
1/30/1947,stb,pro,0.0
1/31/1947,trh,wsc,1.0
1/31/1947,wsc,trh,0.0
2/1/1947,nyk,phw,0.0
2/1/1947,phw,nyk,1.0
2/1/1947,pro,pit,1.0
2/1/1947,pit,pro,0.0
2/1/1947,clr,stb,0.0
2/1/1947,stb,clr,1.0
2/2/1947,chs,trh,1.0
2/2/1947,trh,chs,0.0
2/2/1947,clr,wsc,0.0
2/2/1947,wsc,clr,1.0
2/2/1947,nyk,dtf,0.0
2/2/1947,dtf,nyk,1.0
2/3/1947,bos,phw,0.0
2/3/1947,phw,bos,1.0
2/3/1947,stb,pit,0.0
2/3/1947,pit,stb,1.0
2/4/1947,pro,phw,0.0
2/4/1947,phw,pro,1.0
2/5/1947,wsc,dtf,1.0
2/5/1947,dtf,wsc,0.0
2/5/1947,nyk,stb,0.0
2/5/1947,stb,nyk,1.0
2/5/1947,pit,trh,0.0
2/5/1947,trh,pit,1.0
