time_step,model_1,model_2,outcome
0,Elo,Glicko,0.0
0,Elo,TrueSkill,1.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Elo,Glicko,0.0
0,Elo,Glicko,0.0
0,Elo,Glicko,0.0
0,Elo,Glicko,0.0
0,Elo,TrueSkill,1.0
0,Elo,Glicko,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,TrueSkill,1.0
0,Glicko,TrueSkill,0.0
0,Elo,Glicko,1.0
0,Elo,Glicko,1.0
0,Elo,Glicko,1.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,1.0
0,Glicko,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Glicko,TrueSkill,0.0
0,Glicko,TrueSkill,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,1.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,TrueSkill,0.0
0,Glicko,TrueSkill,1.0
0,Glicko,TrueSkill,1.0
0,Glicko,TrueSkill,1.0
0,Glicko,TrueSkill,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,TrueSkill,1.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,Elo,TrueSkill,0.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,TrueSkill,1.0
0,Glicko,TrueSkill,1.0
0,Glicko,TrueSkill,1.0
0,Glicko,TrueSkill,0.0
0,Glicko,TrueSkill,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,1.0
0,Glicko,Weng-Lin Thurstone-Mosteller,1.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,1.0
0,Glicko,Weng-Lin Thurstone-Mosteller,1.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Glicko,Weng-Lin Thurstone-Mosteller,1.0
0,Glicko,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,1.0
0,Elo,Weng-Lin Thurstone-Mosteller,1.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Glicko,0.0
0,Elo,Glicko,1.0
0,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
0,Elo,Glicko,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Glicko,1.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Weng-Lin Thurstone-Mosteller,0.0
0,Elo,Glicko,1.0
0,Elo,Glicko,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,1.0
1,Glicko,TrueSkill,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,1.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,1.0
1,Glicko,TrueSkill,1.0
1,Elo,Glicko,1.0
1,Glicko,TrueSkill,1.0
1,Glicko,TrueSkill,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,TrueSkill,1.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,1.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,TrueSkill,1.0
1,Elo,TrueSkill,1.0
1,Elo,TrueSkill,1.0
1,Elo,TrueSkill,1.0
1,Elo,TrueSkill,1.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,1.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,Weng-Lin Thurstone-Mosteller,0.0
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,Glicko,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,Elo,Glicko,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
